tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U
1,"(1, 2)","(2, 3)","(3, 5)",0.5,0.0,40.0,93.33333333333333,73.33333333333333,-0.006493351467707353,-0.00336335734707649,0.003606393157837423,0.006368975192436455,0.7636455281895753,0.4285714285714286,-0.3142857142857143,disorder,rand,0.5,5,0.2
2,"(1, 2)","(2, 3)","(3, 5)",0.5,0.0,40.0,93.33333333333333,73.33333333333333,-0.02811891118269072,-0.00784510239662195,0.02672524747898211,0.011791694630513716,0.72004931579795,0.2571428571428572,-0.14285714285714288,disorder,rand,0.5,5,0.2
3,"(1, 2)","(2, 3)","(1, 3)",0.5,0.5,60.0,93.33333333333333,80.0,-0.032709280061867796,0.006177029274352375,0.0808521682667751,0.012658444114098555,0.6716659103092788,0.2571428571428572,0.3142857142857143,disorder,rand,0.5,5,0.2
1,"(1, 3)","(2, 3)","(3, 5)",0.5,0.5,86.66666666666667,100.0,73.33333333333333,-0.0018066465699917433,-0.010410176800758064,0.0063940437478152146,-0.01506597584443925,0.7009398881602021,-0.028571428571428574,-0.08571428571428573,disorder,rand,0.5,5,0.3
2,"(1, 3)","(2, 3)","(3, 5)",0.5,0.5,80.0,100.0,66.66666666666666,0.01763919825480076,-0.022080628174347416,0.033919328754041245,-0.03653037460471065,0.6811092176837147,0.08571428571428573,0.14285714285714288,disorder,rand,0.5,5,0.3
3,"(1, 3)","(2, 3)","(1, 3)",0.5,1.0,86.66666666666667,100.0,86.66666666666667,0.10238120558122121,0.008403426254857682,0.10238120558122121,-0.08053912072725622,0.5890664093629974,-0.08571428571428573,0.6,disorder,rand,0.5,5,0.3
1,"(1, 3)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333333,100.0,66.66666666666666,-0.004546871355031179,-0.017629943383167257,0.0060128973228470994,-0.021663635727100505,0.6968945085616581,0.08571428571428573,0.028571428571428574,disorder,rand,0.5,5,0.4
2,"(1, 3)","(2, 3)","(3, 5)",0.5,0.5,86.66666666666667,100.0,73.33333333333333,0.02828988169827351,-0.022530820022037545,0.03759186558616623,-0.04952959191863071,0.6842776980672638,0.08571428571428573,0.3142857142857143,disorder,rand,0.5,5,0.4
3,"(1, 3)","(2, 3)","(1, 3)",0.5,1.0,93.33333333333333,100.0,93.33333333333333,0.13885856446312128,0.036729387813049796,0.13885856446312128,-0.11010881774067738,0.5705700502328812,0.2,0.8285714285714287,disorder,rand,0.5,5,0.4
1,"(2, 3)","(2, 3)","(0, 4)",1.0,0.0,40.0,40.0,20.0,-0.001444543805744214,-0.001444543805744214,0.0031601377429689437,-0.0002998587253870699,0.8123518857155145,-0.2571428571428572,0.028571428571428574,disorder,rand,0.5,6,0.12
2,"(2, 3)","(2, 3)","(0, 4)",1.0,0.0,40.0,40.0,20.0,-0.005698535604471422,-0.005698535604471422,0.0033267083062488156,-0.000353057606359064,0.8140897239277389,0.2571428571428572,-0.2,disorder,rand,0.5,6,0.12
3,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,40.0,40.0,73.33333333333333,-0.004349920045146893,-0.004349920045146893,0.009832499512386628,-0.0017809311408919504,0.8190674369727996,-0.4285714285714286,0.14285714285714288,disorder,rand,0.5,6,0.12
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,60.0,60.0,40.0,-0.005975106464104485,-0.005975106464104485,0.001285258789279764,-0.005984839165751321,0.901308595414029,0.8857142857142858,-0.942857142857143,disorder,rand,0.5,6,0.2
2,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,66.66666666666666,66.66666666666666,100.0,-0.019815807269568664,-0.019815807269568664,0.006517040449873779,-0.013008209392103676,0.8867417348178575,0.8285714285714287,-0.7142857142857143,disorder,rand,0.5,6,0.2
3,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,66.66666666666666,66.66666666666666,100.0,-0.009575923111131424,-0.009575923111131424,0.0404557302100339,-0.02292979837939524,0.8618794588638435,0.2,0.08571428571428573,disorder,rand,0.5,6,0.2
1,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,93.33333333333333,93.33333333333333,46.666666666666664,-0.014866220568058308,-0.014866220568058308,0.0026047933295753056,-0.020746600012931937,0.7029952009476722,0.942857142857143,-0.6,disorder,rand,0.5,6,0.3
2,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,93.33333333333333,93.33333333333333,73.33333333333333,-0.03467209691093376,-0.03467209691093376,0.02265251192708706,-0.040612002672083314,0.716777430570757,0.7142857142857143,-0.2571428571428572,disorder,rand,0.5,6,0.3
3,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,93.33333333333333,93.33333333333333,73.33333333333333,0.0016542863629387394,0.0016542863629387394,0.07592867001974923,-0.06127853300663666,0.7166976736716963,0.14285714285714288,0.3142857142857143,disorder,rand,0.5,6,0.3
1,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,100.0,100.0,46.666666666666664,-0.022640806628880794,-0.022640806628880794,0.0028184979164436186,-0.027844887698339038,0.681023002824011,0.8857142857142858,-0.7142857142857143,disorder,rand,0.5,6,0.4
2,"(2, 3)","(2, 3)","(1, 5)",1.0,0.0,93.33333333333333,93.33333333333333,66.66666666666666,-0.03223035694064569,-0.03223035694064569,0.02562228186244797,-0.052392740517608116,0.7083827114771407,0.8857142857142858,0.3142857142857143,disorder,rand,0.5,6,0.4
3,"(2, 3)","(2, 3)","(1, 3)",1.0,0.5,93.33333333333333,93.33333333333333,80.0,0.028532377694512334,0.028532377694512334,0.10089047227487602,-0.07588224866648907,0.7171096193098266,0.14285714285714288,0.7142857142857143,disorder,rand,0.5,6,0.4
1,"(0, 4)","(2, 3)","(1, 3)",0.0,0.0,100.0,20.0,20.0,-0.003488735435540624,0.0022847495313130586,0.002617371301654875,-0.02353618547628822,0.5776009077789973,0.7714285714285715,-0.5428571428571429,disorder,rand,0.5,7,0.12
2,"(0, 4)","(2, 3)","(1, 2)",0.0,0.0,100.0,20.0,20.0,-0.005578495488730573,0.00257161770329091,0.004949824656279647,-0.04974941893030571,0.5758804805280382,0.3142857142857143,-0.3714285714285715,disorder,rand,0.5,7,0.12
3,"(0, 4)","(2, 3)","(2, 4)",0.0,0.5,100.0,20.0,46.666666666666664,0.004150212810666298,-0.00503682670429495,0.014000220446098166,-0.07920222764212415,0.5791981569670098,-0.08571428571428573,0.2571428571428572,disorder,rand,0.5,7,0.12
1,"(4, 5)","(2, 3)","(2, 3)",0.0,0.0,86.66666666666667,20.0,20.0,-0.004536936460307617,0.0025786109068740015,0.0025786109068740015,-0.02368020097489787,0.7336887566545994,0.8285714285714287,-0.7142857142857143,disorder,rand,0.5,7,0.2
2,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,86.66666666666667,20.0,46.666666666666664,-0.007660331390683117,-0.004083868140284663,0.0031353631668243342,-0.049449451448664195,0.731039082744169,0.2571428571428572,0.028571428571428574,disorder,rand,0.5,7,0.2
3,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,86.66666666666667,20.0,100.0,0.012952792338494223,-0.022784860651987315,0.02097467111630058,-0.07876782619459655,0.7230166977844923,-0.08571428571428573,0.5428571428571429,disorder,rand,0.5,7,0.2
1,"(4, 5)","(2, 3)","(0, 2)",0.0,0.0,93.33333333333333,20.0,46.666666666666664,-0.00583713074878367,-0.006024417280418859,-0.002322549053955514,-0.02463024138611636,0.646096449860106,0.3714285714285715,-0.48571428571428577,disorder,rand,0.5,7,0.3
2,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333333,20.0,100.0,-0.004520879284894974,-0.035645830463620354,0.002339968259899572,-0.053656035465458496,0.6253050843966231,-0.5428571428571429,0.3142857142857143,disorder,rand,0.5,7,0.3
3,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,100.0,20.0,93.33333333333333,0.04965948312469326,-0.06315145503045183,0.053498125187061984,-0.08766247374918423,0.600557722252623,-0.5428571428571429,0.7714285714285715,disorder,rand,0.5,7,0.3
1,"(4, 5)","(2, 3)","(0, 5)",0.0,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.00679947039204154,-0.01843166952627706,-0.0012015861471809108,-0.023063250887458864,0.5040128729966935,0.08571428571428573,0.3142857142857143,disorder,rand,0.5,7,0.4
2,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333333,53.333333333333336,86.66666666666667,0.00446013473207274,-0.05963776724644432,0.016077671385243963,-0.05462196515211826,0.517041262003188,-0.5428571428571429,0.7142857142857143,disorder,rand,0.5,7,0.4
3,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,100.0,40.0,86.66666666666667,0.08119217088576547,-0.06792085653321733,0.08346806840849652,-0.0966671444583932,0.49999999999999856,-0.4285714285714286,0.8285714285714287,disorder,rand,0.5,7,0.4
1,"(3, 4)","(2, 3)","(1, 2)",0.5,0.0,26.666666666666668,20.0,20.0,-0.0010543510238852916,0.0016000568786704583,0.002593110071798105,-0.0017169842681620806,0.8780577324071491,0.2571428571428572,-0.7142857142857143,disorder,rand,0.5,8,0.12
2,"(3, 4)","(2, 3)","(2, 3)",0.5,0.5,26.666666666666668,20.0,20.0,-0.0007556718874457413,0.0035600929691342875,0.0035600929691342875,-0.0020597754768954535,0.9063473741652839,0.6,-0.3142857142857143,disorder,rand,0.5,8,0.12
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,26.666666666666668,20.0,26.666666666666668,0.011453572901762299,0.005556085557325147,0.011453572901762299,-0.004957193023871709,0.8936515217260824,0.3714285714285715,0.6,disorder,rand,0.5,8,0.12
